candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Hillary Clinton	Yzark	Proof	neutral	personal	2004	While Clinton got head I was in the sack with old Hillary	http://genius.com/Proof-yzark-lyrics	Proof	Yzark	Proof	1395
Donald Trump	Zion	Omen	neutral		2015	"No Donald Trump, Bill Gates or Bruce Wayne / The only thing I had to my name was a few dreams"	http://genius.com/Omen-zion-lyrics	Omen	Zion	Omen	311
Donald Trump	Protect Ya Neck II the Zoo	12 O'Clock - Brooklyn Zu	positive	money	1995	"Given the power punch, soon to be paid like Donald Trump"	http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics	Ol\' Dirty Bastard	Protect Ya Neck Ii The Zoo	Ol' Dirty Bastard	15000
Donald Trump	I Don't Play With Guns	Alley Boy	neutral		2011	"Add up our word: all the nonbelievers in white chalk / Trump n----, talk shit"	http://genius.com/Juicy-j-i-dont-play-with-guns-lyrics	Juicy J	I Don't Play with Guns	Juicy J	1813
Hillary Clinton	No Church in the Wild Freestyle	Angel Haze	negative	political	2012	"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham"	http://genius.com/Angel-haze-no-church-in-the-wild-freestyle-lyrics	ROES	No Church in the Wild	Angel Haze	808
Hillary Clinton	Again (Stankonia Remix)	Big Boi	neutral		2001	"Thinkin the Hillary Clinton, not to mention, and she got yo baby"	http://genius.com/Lenny-kravitz-again-stankonia-remix-lyrics	Lenny Kravitz	Again (Stankonia remix)	Lenny Kravitz	229
Donald Trump	Flavas Back	Chino Tovar	negative	political	2015	Stop deportation we just chasing dreams / Donald Trump - King of Slavery	http://genius.com/The-sindicate-flavas-back-lyrics	The Sindicate		The Sindicate
Donald Trump	Making Some Moves	DAJ	negative		2015	"Young n----s get it, fuck Donald Trump"	http://genius.com/Daj-making-some-moves-lyrics	DAJ	Making Some Moves (Missed Calls)	Daj'	1
Donald Trump	Tightanic	Demark	positive	money	2014	We'�ll run the market like we be Donald Trump	http://genius.com/Double-p-tightanic-lyrics	Double P		Double P
Donald Trump	My Word Is Bond	Donald D	positive		1989	"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy"	http://genius.com/Ice-t-my-word-is-bond-lyrics	Ice-T	My World Is Bond	Ice-T	2
Donald Trump	Best Days of Lives	Donnis	neutral		2011	"I'm a Mac bitch, I stay on my Donald Trump shit"	http://genius.com/Xv-best-days-of-lives-lyrics	XV	Best Days of Lives	XV	1787
Donald Trump	Dis Ain't What You Want (Remix)	French Montana	negative		2013	"You can hate, don't frown, my n---- / With Donald Trump in the trunk, my n----"	http://genius.com/Lil-durk-dis-aint-what-you-want-remix-lyrics	Lil Durk	Dis Ain't What You Want (Remix)	Lil Durk	34
Donald Trump	Turn It Into Somethin'	Frost	positive	hotel	1999	Real G's posted up at the Trump Towers	http://genius.com/Frost-turn-it-into-somethin-lyrics	OG Kid Frost		OG Kid Frost
