candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Donald Trump	I'm Ballin' Man	Drama	positive	money	2000	More realer than Rockafeller more cheese than Donald Trump	http://genius.com/Dr-ama-im-ballin-lyrics	Dr. Ama	I'm Ballin Man (instrumental)	Drama	1
Donald Trump	Ice Cream	Lil Wayne	positive	money	2009	"I was in the trenches, now I'm in the Trump"	http://genius.com/Lil-wayne-ice-cream-lyrics	Lil Wayne	Ice Cream Paint Job	Lil Wayne	2
Donald Trump	If You Love Me	Sheek Louch	positive	hotel	2010	"Burgundy gauze, Trump building one of these floors"	http://genius.com/Dj-absolut-if-you-love-me-lyrics	DJ Absolut	If You Love Me (Feat. Havoc  Cassidy & Joell Ortiz)	Sheek Louch	4
Donald Trump	CIT4DT	Dooley	negative	political	2016	We got a chopper in the trunk for Donald Trump	http://genius.com/Dooley-cit4dt-lyrics	Dooley	In The Trunk For Trump (CIT4DT)	Dooley	13
Donald Trump	Incarcerated Scarfaces	Raekwon	positive	money	1995	"Rae's a heavy generator, but yo, guess who's the black Trump? / You rolling like Trump, you get your meat lumped"	http://genius.com/Raekwon-incarcerated-scarfaces-lyrics	Raekwon	Incarcerated Scarfaces	Raekwon	129960
Donald Trump	Independent	KXNG Crooked	positive	hotel	2010	"We fuck a couple hoes, am I sweet at the Trump?"	http://genius.com/Crooked-i-independent-lyrics	Crooked I	Independent	Kxng Crooked	11
Donald Trump	InHeiritance	King Mez	negative		2014	Trump for the china white and they mental like dynamite	http://genius.com/King-mez-inheiritance-lyrics	King Mez	InHeiritance feat. Sonny Base	King Mez	90
Donald Trump	Invisible Man	Joe Budden	positive	hotel	2007	"One's national, Trump International, rational"	http://genius.com/Joe-budden-invisible-man-lyrics	Joe Budden	Invisible Man	Joe Budden	793
Donald Trump	Is It Love	Kendrick Lamar	positive	money	2009	"Give me fame and fortune, me and Trump on golf courses"	http://genius.com/Kendrick-lamar-is-it-love-lyrics	Kendrick Lamar	Is It Love feat. Angela McCluskey	Kendrick Lamar	7679
Donald Trump	Tower Heist	Nas	positive	hotel	2011	"This a tower heist, even Donald Trump can get it"	http://genius.com/Nas-tower-heist-lyrics	Nas	It's a Tower Heist (feat. Rick Ross)	Nas	307
Donald Trump	It's Goin' Down	Yung Joc	positive	money	2006	Boys from the hood call me black Donald Trump	http://genius.com/Yung-joc-its-goin-down-lyrics	Yung Joc	It's Goin Down	Yung Joc	2772
Donald Trump	Its Sad Boy	Yung Gleesh	neutral	hotel	2013	Pushed a button to the Trump Towers	http://genius.com/Yung-gleesh-its-sad-boy-lyrics	Yung Gleesh	Its Sad Boy (feat. Yung Lean)	Yung Gleesh	1821
Donald Trump	Jealousy	Fat Joe	positive	money	2006	We fuckin with Donald Trump now	http://genius.com/Fat-joe-jealousy-lyrics	Fat Joe	Jealousy	Fat Joe	5034
Donald Trump	Jet Life (Remix)	Jeezy	positive	hotel	2012	Trump Towers I'm sky high	http://genius.com/Curren-y-jet-life-remix-lyrics	Curren$y	Jet Life (Remix) Feat. Young Jeezy & Lil Wayne	Curren$y	132
Donald Trump	John They're Stealing	Thirstin Howl III	neutral	money	2002	"Sold to Donald Trump, for personal checks"	http://genius.com/Thirstin-howl-iii-john-theyre-stealing-lyrics	Thirstin Howl III	John They're Stealing!	Thirstin Howl III	91
Donald Trump	Johnny Ryall	Beastie Boys	neutral		1989	Donald Trump and Donald Tramp living in the men's Shelter	http://genius.com/Beastie-boys-johnny-ryall-lyrics	Beastie Boys	Johnny Ryall	Beastie Boys	128020
Donald Trump	Jussummen	Das EFX	positive	money	1992	I went and break a slut like Donald Trump can break a million	http://genius.com/Das-efx-jussummen-lyrics	Das EFX	Jussummen	Das EFX	20551
Donald Trump	K.O.T.T.O.N.M.O.U.T.H.	Kottonmouth Kings	neutral	The Apprentice	2008	I'm like the Donald Trump of drinking and homie your fired	http://genius.com/Kottonmouth-kings-kottonmouth-lyrics	Kottonmouth Kings	K.O.T.T.O.N.M.O.U.T.H. Song	Kottonmouth Kings	11994
Donald Trump	Karate Chop (Freestyle)	Shaquille O'Neal	neutral	money	2013	"You ain't got enough, better get a loan from Mr. Bill Gates / And Donald Trump, and Carlos Slim"	http://genius.com/Shaquille-oneal-karate-chop-freestyle-lyrics	Shaquille O\'Neal	Karate Chop Freestyle f/ ShaqIsDope	Shaquille O'Neal	1
Donald Trump	Kick Back Music	CyHi The Prynce	neutral	hotel	2013	That might get you staying a couple nights up at the Trump	http://genius.com/Cyhi-the-prynce-kick-back-music-lyrics	CyHi The Prynce	Kick Back Music (Intro) ft. Canji Taylor (Prod by C Tez) (DatPiff Exclusive)	CyHi The Prynce	306
Donald Trump	Kick it Like That	Styles P	positive	hotel	2006	"I'm at the double-oh suites of Trump, for at least a month"	http://genius.com/Styles-p-kick-it-like-that-lyrics	Styles P	Kick It Like That	Styles P	1902
Hillary Clinton	Krazy	Pitbull	neutral	personal	2009	Obama with no color / Hillary with no Bill	http://genius.com/Pitbull-krazy-lyrics	Pitbull	Krazy	Pitbull	87183
Donald Trump	Last Year	Borgore	neutral	power	2014	"Fuck the Trump, I want my own tower"	http://genius.com/Borgore-last-year-lyrics	Borgore	Last Year	Borgore	5359
Hillary Clinton	Let's Stay Together	Ludacris	negative	personal	2008	"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it"	http://genius.com/Ludacris-lets-stay-together-lyrics	Ludacris	Let's Stay Together	Ludacris	537
Hillary Clinton	Letter to the King	The Game	neutral	political	2008	If Dr. King marched today would Bill Gates march / I know Obama would but would Hilary take part	http://genius.com/The-game-letter-to-the-king-lyrics	The Game	Letter To The King (feat. Nas)	The Game	11737
Donald Trump	LIE-Z	Fat Boys	positive	money	1989	"Boy, I got money like Donald Trump!"	http://genius.com/Fat-boys-lie-z-lyrics	Fat Boys	"Lie-Z (7"" Lie)"	Fat Boys	384
Hillary Clinton	Life So Hard	Migos	positive		2015	Make a basic bitch feel like Hillary Clinton	http://genius.com/Migos-life-so-hard-lyrics	Migos	Life So Hard [Prod. By Zaytoven]	Migos	81
Donald Trump	Lights	Frank Ocean	neutral	money	2011	Donald Trump said buy an apartment wit her	http://genius.com/Frank-ocean-lights-lyrics	Frank Ocean	Lights [Prod. Midi Mafia]	Frank Ocean	3262
Hillary Clinton	Little This Little That	Naj Murph	neutral	personal	2013	I need a Hillary so let me know if you fit the bill; when we chill	http://genius.com/Naj-murph-little-this-little-that-lyrics	Naj Murph	Little This Little That (prod. by Spencer Greene)	Naj Murph	1
Donald Trump	Living the Life	The Notorious B.I.G.	positive	money	2005	"Twenty seven cars and a twelve bedroom house, Now they call me Snoopy Trump"	http://genius.com/The-notorious-big-living-the-life-lyrics	The Notorious B.I.G.	Living The Life (feat. Snoop Dogg Ludacris Faith Evans Cheri Dennis & Bobby Valentino)	The Notorious B.I.G.	6622
Donald Trump	Loaded	Young Thug	neutral		2013	(Uh!) Plottin' on Donald Trump (woo! woo!)	http://genius.com/Young-thug-loaded-lyrics	Young Thug	Loaded	Young Thug	684
Donald Trump	Loco	Young Buck	negative	political	2015	And I'm fuck wat Donald Trump talk bout I like change when I met Rosetta	http://genius.com/Young-buck-loco-lyrics	Young Buck	Loco	Young Buck	80
Donald Trump	Loco-Motive	Nas	positive	money	2012	"Like Trump being up down up, play with cash"	http://genius.com/Nas-loco-motive-lyrics	Nas	Loco-Motive	Nas	28393
Hillary Clinton	Lollipop	Lil Wayne	neutral	personal	2008	"And when I'm at the bottom, she Hillary Rodham"	http://genius.com/Lil-wayne-lollipop-lyrics	Lil Wayne	Lollipop	Lil Wayne	8
Donald Trump	Look Me in My Eyes	Vado	positive	hotel	2014	"Having a bunch in the Plaza, top floor on the Trump"	http://genius.com/Vado-look-me-in-my-eyes-lyrics	Vado	Look Me In My Eyes	Vado	300
Donald Trump	Loose	Spank Rock	positive	hotel	2008	"Ain't that what you want, a Hilton ain't a Trump"	http://genius.com/Spank-rock-loose-lyrics	Spank Rock	Loose	Spank Rock	5387
Donald Trump	Lost a Fan	KXNG Crooked	neutral	money	2016	"She homeless and they don't give a fuck / Gentrification, they laughin' getting rich as Trump"	http://genius.com/Statik-kxng-lost-a-fan-lyrics	STATIK KXNG	Lost A Fan	Kxng Crooked	8
Donald Trump	Love Don't Cost a Thing (Neptunes Remix)	Ghostface Killah	positive	money	2012	"Big lobster dishes wit Trump, this how come I feel for you"	http://genius.com/Jennifer-lopez-love-dont-cost-a-thing-neptunes-remix-lyrics	Jennifer Lopez	Love Don't Cost A Thing ft. Jennifer Lopez Neptunes Remix)	Ghostface Killah	1
Donald Trump	Mafioso	Kool G. Rap	positive	hotel	1998	Can't stop until I got a Casa up in Trump plaza	http://genius.com/Kool-g-rap-mafioso-lyrics	Kool G Rap	Mafioso	Kool G Rap	2190
Donald Trump	Make the World Go Round	Nas	positive	hotel	2008	Get the whole Trump Tower top floor for the hood	http://genius.com/Nas-make-the-world-go-round-lyrics	Nas	Make the World Go Round (Feat. Chris Brown and The Game)	Nas	10086
Hillary Clinton	Make U Feel Alright	Jay Da Menace	positive	personal	2009	"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real"	http://genius.com/Juvenile-make-u-feel-alright-lyrics	Juvenile	Make U Feel Alright	Jay Da Menace	1
Donald Trump	Maybe You Love Me	RiFF RAFF	positive	hotel	2014	Trump towers with Donald (Donald) I can't drive a Honda (uh uh)	http://genius.com/Riff-raff-maybe-you-love-me-lyrics	RiFF RAFF	Maybe You Love Me (Feat. Mike Posner)	Riff Raff	5450
Donald Trump	Midgets and Giants	Sage Francis	neutral	The Apprentice	2007	"Fuck an apprentice, I've got more firepower than Donald Trump"	http://genius.com/Sage-francis-midgets-and-giants-lyrics	Sage Francis	Midgets and Giants	Sage Francis	18776
Donald Trump	Misconceptions 3	Jgivens	neutral	political	2016	They shocked to see us like Donald Trump up in a taqueria	http://genius.com/Lecrae-misconceptions-3-lyrics	Lecrae	Misconceptions 3 (feat. John Givez Jgivens & Jackie Hill Perry)	Lecrae	1220
Donald Trump	Miss U	Young Thug	positive	money	2013	Feel like Donald Trump	http://genius.com/Young-thug-miss-u-lyrics	Young Thug	Miss U	Young Thug	2965
Donald Trump	Mo Cars Mo Hoes	Fabolous	positive	money	2008	"They know I'm hood rich, Donald Trump of the pumpers"	http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics	Fabolous	Mo Cars Mo Hoes (Feat. Freck Billionaire)	Fabolous	1064
Donald Trump	Mo Cars Mo Hoes	Freck Billionaire	positive	hotel	2008	"Trump Tower, you ain't got the same room as me"	http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics	Fabolous	Mo Cars Mo Hoes Pt. 2	Freck Billionaire	2
Donald Trump	Molly (remix)	Boston George	positive	money	2013	Big money like Donald Trump	http://genius.com/Boston-george-molly-remix-lyrics	Boston George	Molly (Remix) (Feat. Meek Mill and Kirko Bangz)	Boston George	40
Donald Trump	Money and the Power	Scarface	positive	money	1991	"n---- rollin hard, stackin paper like Trump"	http://genius.com/Scarface-money-and-the-power-lyrics	Scarface	Money And The Power	Scarface	8318
Donald Trump	Money Is My Bitch	Nas	positive	personal	1999	The best couple they seen since Trump and Marla Maple	http://genius.com/Nas-money-is-my-bitch-lyrics	Nas	Money Is My Bitch	Nas	28211
Jeb Bush	Money Man	Gorilla Zoe	negative	personal	2007	I'm comin back from Florida / Wit Jeb Bush and his daughter	http://genius.com/Gorilla-zoe-money-man-lyrics	Gorilla Zoe	Money Man (Amended Album Version)	Gorilla Zoe	127641
Hillary Clinton	Money Man	Gorilla Zoe	neutral	personal	2007	"Keep dat white girl Hillary, a pound of Bill Clinton"	http://genius.com/Gorilla-zoe-money-man-lyrics	Gorilla Zoe	Money Man (Amended Album Version)	Gorilla Zoe	127641
Donald Trump	Money Talks	Double X Posse	positive	money	1995	A bank account so fat that Donald Trump would wanna be me	http://genius.com/Double-x-double-xx-posse-money-talks-lyrics	Double X (Double XX Posse)	Money Talks	Double X Posse	0
Donald Trump	Morphine	Gorilla Warfare Tactics	positive	hotel	2013	Like I�m Trump and yelling out on the tower top of the Taj	http://genius.com/Gorilla-warfare-tactics-morphine-lyrics	Gorilla Warfare Tactics	Morphine	Gorilla Warfare Tactics	104
Donald Trump	Motion	Curren$y	positive	hotel	2012	Car service brung me to the Trump Tower	http://genius.com/Curren-y-motion-lyrics	Curren$y	Motion ft. Cornerboy P (DatPiff Exclusive)	Curren$y	948
Donald Trump	Muzzle Toe	Wu-Syndicate	positive	money	1999	"It's reg or not, pockets love Trump Donald"	http://genius.com/Wu-syndicate-muzzle-toe-lyrics	Wu-Syndicate	Muzzle Toe	Wu-Syndicate	419
Donald Trump	My Drink n My 2 Step (Remix)	Kanye West	neutral	The Apprentice	2007	"We fired motherfuckers, Donald Trump n----"	http://genius.com/Cassidy-my-drink-n-my-2-step-remix-lyrics	Cassidy	My Drink N My 2 Step (Remix)	Kanye West	3
Hillary Clinton	My Heart	Jae Tips	neutral	personal	2011	Michelle to my Obama / You Hilary my Clinton	http://genius.com/Jae-tips-my-heart-lyrics	Jae Tips	My Heart	Jae Tips	3
Donald Trump	My Speech (Queen's Speech Remix)	Sik World	neutral	political	2016	Tryna battle me's dumb / Like a Mexican voting for Donald Trump	http://genius.com/Sik-world-my-speech-queens-speech-remix-lyrics	Sik World	My Speech (Queen's Speech Remix)	Sik World	1
Donald Trump	Neighborhood Scientists	Migos	positive	money	2015	Living life like Donald Trump	http://genius.com/Migos-neighborhood-scientists-lyrics	Migos	Neighborhood Scientists	Migos	376
Donald Trump	New World	Nas	neutral	money	1999	The new Don Trump is Bill Gates	http://genius.com/Nas-new-world-lyrics	Nas	New World	Nas	20258
Donald Trump	New York Minute (Remix)	Nicki Minaj	positive	hotel	2010	I remember how it felt when the twin towers fell I was in the Trump Towers looking for some shower gel	http://genius.com/French-montana-new-york-minute-remix-lyrics	French Montana	New York Minute (Remix)	Nicki Minaj	115
Ben Carson	Next Black President	King Los	positive		2011	I was the heart transplant when hip hop died / Verbally I�'m Ben Carson	http://genius.com/King-los-next-black-president-lyrics	King Los	Next Black President (Prod by Baron Boyz)	King Los	2
Donald Trump	No Shots	7L & Esoteric	positive	money	2010	It's like Trump in your crib countin' money with you	http://genius.com/7l-no-shots-lyrics	7L & Esoteric	No Shots	7L & Esoteric	2289
Donald Trump	No Smoke	Montana of 300	negative		2016	It's fuck all you n----s like Trump	http://genius.com/Montana-of-300-no-smoke-lyrics	Montana of 300	No Smoke (feat. Talley of 300)	Montana of 300	289
Hillary Clinton	No Sunshine	Rhymefest	positive	money	2007	Until we all fuckin' with bills/Bill's like Hillary Rodham	http://genius.com/Rhymefest-no-sunshine-lyrics	Rhymefest	No Sunshine (Rhymefest) [prod. by Emile]	Rhymefest	2100
Donald Trump	Nobody Speak	El-P	negative	personal	2016	Flame your crew quicker than Trump fucks his youngest	http://genius.com/Dj-shadow-nobody-speak-lyrics	DJ Shadow	Nobody Speak (feat. Run the Jewels)	DJ Shadow	65765
Mike Huckabee	None Shall Pass	Aesop Rock	neutral		2011	"Wither by the watering hole, Border patrol / What are we to Heart Huckabee"	http://genius.com/Aesop-rock-none-shall-pass-lyrics	Aesop Rock	None Shall Pass	Aesop Rock	176317
Donald Trump	Nothing More	DeDa	positive	money	2003	"Cause boom, you can be Donald Trump and shit"	http://genius.com/Pete-rock-nothing-more-lyrics	Dedi Baby Pa	Nothing More	Deda	1048
Hillary Clinton	Nothing on My Mind	AllDay	neutral		2013	Young buck but I never suck call me Hillary	http://genius.com/Allday-nothing-on-my-mind-lyrics	Allday	Nothing On My Mind (Ft. Prime)	Allday	95
Hillary Clinton	Now That I'm Paid	Rick Ross	neutral		2012	Whip it in the kitchen before Hillary became a Clinton	http://genius.com/The-game-now-that-im-paid-lyrics	The Game	Now That I'm Paid (Feat. Game)	Rick Ross	22
Hillary Clinton	Nunca	Chino XL	neutral		2001	"I'll shoot out with Bill & Hillary, still won't run out of artillery"	http://genius.com/Chino-xl-nunca-lyrics	Chino XL	Nunca	Chino XL	5176
Hillary Clinton	NYMP	Jay Z	neutral	political	1999	"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham"	http://genius.com/Jay-z-nymp-lyrics	JAY-Z	nymp	JAY Z	0
Donald Trump	Off the Corner	Meek Mill	positive	money	2014	Going Donald Trump numbers on the corner	http://genius.com/Meek-mill-off-the-corner-lyrics	Meek Mill	Off the Corner (feat. Rick Ross)	Meek Mill	4608
Donald Trump	On the Real	Nas	positive	hotel	2011	"Up in the Trump Plaza, Suite 3010"	http://genius.com/Nas-on-the-real-lyrics	Nas	On The Real	Nas	20706
Donald Trump	On the Way	Young Thug	positive	money	2014	Bitches got bumps and I'm rich just like Donald Trump	http://genius.com/Mpa-duke-on-the-way-lyrics	Lil Duke	On the Way (Feat. MPA Duke)	Young Thug	8
Donald Trump	Once Upon a Time	King Sun	positive	money	1994	Today I'm livin large as if my last name was Trump	http://genius.com/King-sun-once-upon-a-time-lyrics	King Sun	once upon a time	King Sun	212
Donald Trump	One Name	Sheek Louch	positive	money	2005	"Big trips, Louis bags, welcome to the ice (bling) / Rock big enough to make Trump look twice"	http://genius.com/Sheek-louch-one-name-lyrics	Sheek Louch	One Name Feat. Carl Thomas	Sheek Louch	556
Donald Trump	Open Your Mind	Black The Ripper	positive	money	2013	"Who am I kidding, I'm try'na live lavish like Trump"	http://genius.com/Black-the-ripper-open-your-mind-lyrics	Black The Ripper	Open Your Mind (feat. Jyager)	Black The Ripper	19
Donald Trump	Out Here	The Weeknd	positive	hotel	2016	I'm out here in the Trump Tower	http://genius.com/The-weeknd-out-here-lyrics	The Weeknd	Out Here	The Weeknd	717
Donald Trump	P.A.	Mac Miller	negative	personal	2011	Donald Trump with better hair	http://genius.com/Freeway-pa-lyrics	Freeway	P.A. feat. Freeway	Mac Miller	1
Donald Trump	Paid	Kid Rock	positive	money	1996	I'll still be in the house getting paid like Trump	http://genius.com/Kid-rock-paid-lyrics	Kid Rock	Paid	Kid Rock	11998
Donald Trump	Party Ain't A Party	2 Chainz	positive	hotel	2014	Exit the club to the Trump	http://genius.com/Jamie-foxx-party-aint-a-party-lyrics	Jamie Foxx	Party Ain't A Party	Jamie Foxx	8715
Donald Trump	Perfume	Aasim	positive	hotel	2013	"Four Seasons or the Trump, come have a sleep over"	http://genius.com/Aasim-perfume-lyrics	Aasim	PERFUME FEAT CHRIS BROWN (DatPiff Exclusive)	Aasim	7
Donald Trump	Pimp Slap	Tyler the Creator	neutral	personal	2008	With my Donald Trump hair piece you're an apprentice	http://genius.com/Left-brain-pimp-slap-lyrics	Left Brain	Pimp Slap Feat. Ace x Hodgy	Left Brain	9311
Donald Trump	Pimps (Free Stylin at the Fortune 500 Club)	The Coup	positive	money	1994	Trump Trump check out the cash in my trunk / I am Donald Trump me think you mighta heard about me	http://genius.com/The-coup-pimps-free-stylin-at-the-fortune-500-club-lyrics	The Coup	Pimps (Free Stylin At The Fortune 500 Club)	The Coup	1350
Donald Trump	Pirates	Rick Ross	positive	money	2012	"Resurrection of the real, time to get the richer than Trump"	http://genius.com/Rick-ross-pirates-lyrics	Rick Ross	Pirates	Rick Ross	33611
Donald Trump	PlaneWalker	Bobby Raps	positive	money	2015	I do more deals than Donald Trump does	http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics	Bobby Raps	PlaneWalker (wuhUwahnMi2dü)	Bobby Raps	20
Donald Trump	Playas Only	The Game	neutral	hotel	2006	Bet she ain't never seen the penthouse at The Trump	http://genius.com/The-game-playas-only-lyrics	The Game	Playa's Only	The Game	1512
Ted Cruz	PNT	Apollo Brown & Ras Kass	negative	political	2015	Fuck Fox News and fuck Ted Cruz	http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics	Apollo Brown & Ras Kass	PNT	Apollo Brown & Ras Kass	106
Donald Trump	PNT	Apollo Brown & Ras Kass	neutral	political	2015	"He Kenyan, Trump wanted his certificate of birth"	http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics	Apollo Brown & Ras Kass	PNT	Apollo Brown & Ras Kass	106
Donald Trump	Pocket Full of Stones	UGK	positive		1992	Fuck Black Caesar n----s call me Black Trump	http://genius.com/Ugk-pocket-full-of-stones-lyrics	UGK	Pocket Full Of Stones	UGK	13064
Hillary Clinton	Poizon Windz	Monsta Island Czars	neutral		2003	"Head essential lightning agency throats, thinkin of Hilary Clinton"	http://genius.com/Monsta-island-czars-poizon-windz-lyrics	Monsta Island Czars	Poizon Windz	Monsta Island Czars	10074
Hillary Clinton	Politics as Usual (Obama Is Here)	Ludacris	negative	political	2008	Hillary hated on you so that {censored} bitch is irrelevant	http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics	Ludacris	Politics As Usual (Obama Is Here)	Ludacris	18
Donald Trump	Pop Style (Remix)	Devvon Terrell	neutral	personal	2016	You want official like Donald Trump hair	http://genius.com/Devvon-terrell-pop-style-remix-lyrics	Devvon Terrell	Pop Style (Remix) [feat feat. Damien Esco]	Devvon Terrell	1
Hillary Clinton	Pressure	Killer Mike	negative	political	2008	Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush	http://genius.com/Killer-mike-pressure-lyrics	Killer Mike	Pressure	Killer Mike	2630
Donald Trump	Priceless	Tory Lanez	positive	money	2014	I'm countin' money like I'm Donald Trump	http://genius.com/Tory-lanez-priceless-lyrics	Tory Lanez	Priceless	Tory Lanez	437
Donald Trump	Purpose	Young Thug	neutral		2015	"No Donald, I'd Trump that bitch"	http://genius.com/Young-thug-purpose-lyrics	Young Thug	Purpose	Young Thug	789
Donald Trump	Pussy	Strings	positive	money	2002	I'm sitting on some make em holla pussy / Bill Gates Donald Trump million dollar pussy	http://genius.com/Strings-pussy-lyrics	Strings	Pussy	Strings	5
Donald Trump	Put Ya in Da Game	Fat Joe	positive	hotel	2009	"I took her out of the 'jects, the top floor of the Trump"	http://genius.com/Fat-joe-put-ya-in-da-game-lyrics	Fat Joe	Put Ya In Da Game (Feat T-Pain & OZ)	Fat Joe	640
Donald Trump	R.I.C.O. (Remix)	Waka Flocka Flame	negative	political	2015	"And fuck Donald Trump, man / I'm sending you straight to Mexico to live in, motherfucker"	http://genius.com/Waka-flocka-flame-rico-remix-lyrics	Waka Flocka Flame	R.I.C.O Remix	Waka Flocka Flame	1
Donald Trump	Racks	Lil Wayne	positive	money	2011	Get money like Donald Trump	http://genius.com/Lil-wayne-racks-on-racks-lyrics	Lil Wayne	Racks (Freestyle)	Lil Wayne	0
Donald Trump	Raiders Cap	Demigodz	negative	personal	2013	Blow your wig to the side like hair on Donald Trump	http://genius.com/Demigodz-raiders-cap-lyrics	Demigodz	Raiders Cap (Instrumental)	demigodz	0
Donald Trump	Ransom	Rich White Ladies	negative		2015	Tie Donald Trump to a stump take a bump with him and a drag	http://genius.com/Rich-white-ladies-ransom-lyrics	Rich White Ladies	Ransom	RICH WHITE LADIES	749
